SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
1,03/06/2020,,Peru,2020-03-06T15:43:02,1,0,0
2,03/07/2020,,Peru,2020-03-06T15:43:02,1,0,0
3,03/08/2020,,Peru,2020-03-08T05:23:03,6,0,0
4,03/09/2020,,Peru,2020-03-09T10:13:23,7,0,0
5,03/10/2020,,Peru,2020-03-10T16:33:13,11,0,0
6,03/11/2020,,Peru,2020-03-10T16:33:13,11,0,0
7,03/12/2020,,Peru,2020-03-12T08:53:02,15,0,0
8,03/13/2020,,Peru,2020-03-11T20:00:00,28,0,0
9,03/14/2020,,Peru,2020-03-14T12:33:03,38,0,0
10,03/15/2020,,Peru,2020-03-15T18:20:18,43,0,0
11,03/16/2020,,Peru,2020-03-15T18:20:19,86,0,0
12,03/17/2020,,Peru,2020-03-15T18:20:20,117,0,1
13,03/18/2020,,Peru,2020-03-15T18:20:21,145,0,1
14,03/19/2020,,Peru,2020-03-15T18:20:22,234,0,1
15,03/20/2020,,Peru,2020-03-15T18:20:23,234,3,1
16,03/21/2020,,Peru,2020-03-15T18:20:24,318,5,1
17,03/22/2020,,Peru,2020-03-15T18:20:25,363,5,1
18,03/23/2020,,Peru,2020-03-15T18:20:26,395,5,1
19,03/24/2020,,Peru,2020-03-15T18:20:27,416,7,1
20,03/25/2020,,Peru,2020-03-15T18:20:28,480,9,1
21,03/26/2020,,Peru,2020-03-15T18:20:29,580,9,14
22,03/27/2020,,Peru,2020-03-15T18:20:30,635,11,16
23,03/28/2020,,Peru,2020-03-15T18:20:31,671,16,16
24,03/29/2020,,Peru,2020-03-15T18:20:32,852,18,16
25,03/30/2020,,Peru,2020-03-15T18:20:33,950,24,53
26,03/31/2020,,Peru,2020-03-15T18:20:34,1065,30,394
27,04/01/2020,,Peru,2020-03-15T18:20:35,1323,38,394
28,04/02/2020,,Peru,2020-03-15T18:20:36,1414,55,537
29,04/03/2020,,Peru,2020-03-15T18:20:37,1595,61,537
30,04/04/2020,,Peru,2020-03-15T18:20:38,1746,73,914
31,04/05/2020,,Peru,2020-03-15T18:20:39,2281,83,989
32,04/06/2020,,Peru,2020-03-15T18:20:40,2561,92,997
33,04/07/2020,,Peru,2020-03-15T18:20:41,2954,107,1301
34,04/08/2020,,Peru,2020-03-15T18:20:42,4342,121,1333
35,04/09/2020,,Peru,2020-03-15T18:20:43,5256,138,1438
36,04/10/2020,,Peru,2020-03-15T18:20:44,5897,169,1569
37,04/11/2020,,Peru,2020-03-15T18:20:45,6848,181,1739
38,04/12/2020,,Peru,2020-03-15T18:20:46,7519,193,1798
39,04/13/2021,,Peru,2020-03-15T18:20:47,9784,216,2642
40,04/14/2021,,Peru,2020-03-15T18:20:48,10303,230,2869